Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health,15902,0,4,3.725364074767342,0.7679120026296005,27.32988500065403,15.0,66.43864723760147,0.0,4,4,4,5,6,6,8,8,11,23,27
GET,GET /sessions,9560,0,5,5.572354502178067,1.2861199975304771,42.74337699825992,2.0,39.94173485042574,0.0,5,6,7,7,8,10,12,13,21,43,43
GET,GET /sessions/{id}/messages,6387,0,6,6.6515272300083295,1.7405270009476226,41.5419290002319,2.0,26.684922645362885,0.0,6,7,8,8,10,12,14,16,22,42,42
POST,POST /sessions,3206,0,10,10.384373487241207,4.1750849995878525,64.53844199859304,133.66999376169682,13.394686394400097,0.0,10,11,12,12,14,16,19,21,47,65,65
,Aggregated,35055,0,5,5.37121821069551,0.7679120026296005,64.53844199859304,19.939238339751817,146.4599911277902,0.0,5,6,7,7,9,11,13,15,23,47,65
