Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health,59784,0,3,4.569930795064017,0.6610130003537051,73.22894100070698,15.0,285.7268268722195,0.0,3,4,5,5,8,13,24,33,56,68,73
GET,GET /sessions,35622,0,5,8.216248102962266,1.090050001948839,154.0920260013081,2.0,170.24891320156232,0.0,5,7,8,10,15,27,47,61,94,140,150
GET,GET /sessions/{id}/messages,23822,0,6,9.736585669332413,1.454236000427045,178.11408000125084,2.0,113.852945098187,0.0,6,8,10,12,19,31,52,66,110,170,180
POST,POST /sessions,12344,0,10,13.870288799515537,3.685865998704685,231.5772259971709,134.45115035644847,58.99591781932753,0.0,10,12,14,16,25,40,62,79,140,230,230
,Aggregated,131572,0,4,7.365151562124772,0.6610130003537051,231.5772259971709,20.33345240628705,628.8246029912964,0.0,4,6,8,9,14,23,41,55,94,160,230
